date,time,place,item,type,recyclability,sorted_status
2024-02-06,18:26,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-01-12,12:51,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-14,12:14,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-06-10,12:35,par13,drink can,Metal,Recyclable,Unsorted
2024-01-08,11:20,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-02-26,11:43,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-05-15,13:19,par6,banana peel,Organic,bio-degradable,Sorted
2024-03-05,13:31,par14,coffee cup,Paper,Recyclable,Sorted
2024-02-29,11:32,vending machine,coffee cup,Paper,Recyclable,Sorted
2024-04-15,12:45,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-04-09,10:05,par13,food,Organic,bio-degradable,Sorted
2024-04-10,11:59,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-12,16:12,par14,drink can,Metal,Recyclable,Unsorted
2024-02-02,14:29,par6,banana peel,Organic,bio-degradable,Sorted
2024-02-20,15:01,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-08,12:10,par6,drink can,Metal,Recyclable,Sorted
2024-01-15,12:17,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-03,10:24,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-04-10,12:06,par14,glass bottle,Glass,Recyclable,Unsorted
2024-03-27,13:48,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-05-13,12:37,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-18,13:51,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-03-25,12:39,par6,banana peel,Organic,bio-degradable,Unsorted
2024-02-28,15:48,vending machine,wrapper,Plastic,non-recyclable,Sorted
2024-06-05,10:17,par6,cardboard,Paper,Recyclable,Sorted
2024-03-06,15:00,lobby,paper,Paper,Recyclable,Unsorted
2024-04-22,12:59,lobby,drink can,Metal,Recyclable,Sorted
2024-03-12,14:10,par13,coffee cup,Paper,Recyclable,Unsorted
2024-06-14,12:21,par14,wrapper,Plastic,non-recyclable,Sorted
2024-03-18,11:28,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-31,17:53,lobby,cardboard,Paper,Recyclable,Sorted
2024-05-17,12:50,vending machine,wrapper,Plastic,non-recyclable,Sorted
2024-03-12,13:05,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-02-08,12:48,lobby,paper cup,Paper,Recyclable,Sorted
2024-05-20,15:49,par6,paper cup,Paper,Recyclable,Sorted
2024-02-05,10:24,vending machine,food,Organic,bio-degradable,Unsorted
2024-04-08,12:44,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-04-15,12:31,par6,paper cup,Paper,Recyclable,Sorted
2024-03-26,11:55,par14,banana peel,Organic,bio-degradable,Unsorted
2024-02-19,12:13,lobby,wrapper,Plastic,non-recyclable,Unsorted
2024-01-23,18:16,par14,banana peel,Organic,bio-degradable,Unsorted
2024-03-19,11:46,par14,drink can,Metal,Recyclable,Sorted
2024-01-04,13:14,par14,drink can,Metal,Recyclable,Sorted
2024-02-09,12:39,par14,banana peel,Organic,bio-degradable,Unsorted
2024-05-27,12:50,par6,glass bottle,Glass,Recyclable,Sorted
2024-05-09,13:37,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-05,17:40,par14,paper,Paper,Recyclable,Sorted
2024-02-13,13:34,par6,coffee cup,Paper,Recyclable,Unsorted
2024-04-24,17:46,par13,carton,Paper,Recyclable,Unsorted
2024-03-25,12:01,par14,cardboard,Paper,Recyclable,Unsorted
2024-05-31,10:29,vending machine,carton,Paper,Recyclable,Unsorted
2024-03-21,12:36,par14,drink can,Metal,Recyclable,Unsorted
2024-04-30,12:26,vending machine,carton,Paper,Recyclable,Sorted
2024-05-23,12:41,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-16,13:05,par14,glass bottle,Glass,Recyclable,Sorted
2024-01-29,12:05,lobby,glass bottle,Glass,Recyclable,Sorted
2024-05-01,12:26,lobby,cardboard,Paper,Recyclable,Unsorted
2024-01-12,12:21,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-03-19,12:57,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-02,15:37,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-03-27,18:08,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-26,16:24,par13,drink can,Metal,Recyclable,Unsorted
2024-01-12,12:15,par6,plastic film,Plastic,non-recyclable,Sorted
2024-02-16,11:21,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-15,12:14,par14,wrapper,Plastic,non-recyclable,Sorted
2024-02-29,12:29,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-13,13:36,lobby,banana peel,Organic,bio-degradable,Sorted
2024-05-23,12:50,par14,banana peel,Organic,bio-degradable,Sorted
2024-01-15,15:04,vending machine,coffee cup,Paper,Recyclable,Unsorted
2024-05-06,15:25,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-29,12:27,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-19,12:08,par6,coffee cup,Paper,Recyclable,Sorted
2024-05-06,13:07,par13,paper cup,Paper,Recyclable,Sorted
2024-04-25,12:05,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-16,13:36,par14,carton,Paper,Recyclable,Unsorted
2024-04-02,12:41,par6,coffee cup,Paper,Recyclable,Unsorted
2024-04-08,11:13,par14,glass bottle,Glass,Recyclable,Sorted
2024-05-07,12:27,par13,food,Organic,bio-degradable,Unsorted
2024-05-03,18:29,vending machine,coffee cup,Paper,Recyclable,Sorted
2024-06-11,13:02,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-09,12:13,par6,cardboard,Paper,Recyclable,Sorted
2024-04-24,12:35,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-13,11:54,par13,cardboard,Paper,Recyclable,Unsorted
2024-03-21,12:10,vending machine,paper,Paper,Recyclable,Unsorted
2024-05-22,12:08,par13,drink can,Metal,Recyclable,Unsorted
2024-01-19,12:49,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-03,18:25,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-01-16,11:50,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-03,12:29,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-20,15:52,vending machine,paper,Paper,Recyclable,Unsorted
2024-01-08,15:03,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-03-26,12:20,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-19,12:46,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-29,11:46,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-10,12:48,par6,carton,Paper,Recyclable,Unsorted
2024-04-10,09:58,vending machine,coffee cup,Paper,Recyclable,Sorted
2024-04-16,13:38,par14,paper cup,Paper,Recyclable,Sorted
2024-05-27,12:15,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-24,11:50,par6,glass bottle,Glass,Recyclable,Sorted
2024-04-30,12:36,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-13,12:58,par14,cardboard,Paper,Recyclable,Unsorted
2024-05-24,12:54,par6,carton,Paper,Recyclable,Unsorted
2024-03-13,15:38,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-03-25,12:45,lobby,paper,Paper,Recyclable,Unsorted
2024-01-16,11:16,par14,banana peel,Organic,bio-degradable,Sorted
2024-02-29,12:44,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-21,11:15,par6,drink can,Metal,Recyclable,Unsorted
2024-03-21,12:37,par6,carton,Paper,Recyclable,Unsorted
2024-02-29,17:24,par6,cardboard,Paper,Recyclable,Unsorted
2024-02-27,10:20,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-03-26,14:16,vending machine,paper cup,Paper,Recyclable,Sorted
2024-04-08,10:01,par14,paper,Paper,Recyclable,Sorted
2024-03-05,12:00,par6,cardboard,Paper,Recyclable,Sorted
2024-02-27,12:45,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-05-10,12:29,lobby,banana peel,Organic,bio-degradable,Sorted
2024-03-15,13:23,par6,glass bottle,Glass,Recyclable,Sorted
2024-01-01,17:55,par6,banana peel,Organic,bio-degradable,Unsorted
2024-02-08,12:12,par6,food,Organic,bio-degradable,Unsorted
2024-03-15,10:30,par14,plastic film,Plastic,non-recyclable,Sorted
2024-02-01,12:57,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-03-19,09:40,lobby,paper,Paper,Recyclable,Sorted
2024-04-05,12:14,par6,banana peel,Organic,bio-degradable,Sorted
2024-04-15,13:05,par13,drink can,Metal,Recyclable,Unsorted
2024-06-14,17:27,lobby,food,Organic,bio-degradable,Sorted
2024-03-14,12:24,par6,paper,Paper,Recyclable,Sorted
2024-03-04,18:38,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-19,12:24,par14,plastic film,Plastic,non-recyclable,Unsorted
2024-05-15,16:03,vending machine,carton,Paper,Recyclable,Sorted
2024-03-29,15:01,par6,coffee cup,Paper,Recyclable,Sorted
2024-01-02,10:38,par14,paper cup,Paper,Recyclable,Unsorted
2024-03-11,13:28,par14,glass bottle,Glass,Recyclable,Unsorted
2024-05-30,13:02,par6,paper cup,Paper,Recyclable,Sorted
2024-03-05,10:52,vending machine,drink can,Metal,Recyclable,Sorted
2024-03-05,12:54,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-03-18,12:22,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-05,12:20,par14,banana peel,Organic,bio-degradable,Unsorted
2024-03-05,12:06,vending machine,cardboard,Paper,Recyclable,Sorted
2024-05-20,10:04,par6,cardboard,Paper,Recyclable,Sorted
2024-03-26,11:51,par14,glass bottle,Glass,Recyclable,Unsorted
2024-06-14,14:48,par14,coffee cup,Paper,Recyclable,Sorted
2024-03-13,17:29,lobby,paper cup,Paper,Recyclable,Unsorted
2024-02-19,13:21,par6,wrapper,Plastic,non-recyclable,Sorted
2024-03-12,13:43,par14,drink can,Metal,Recyclable,Unsorted
2024-03-07,11:52,lobby,paper cup,Paper,Recyclable,Unsorted
2024-06-05,11:37,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-07,12:00,par6,glass bottle,Glass,Recyclable,Unsorted
2024-05-17,12:50,par6,glass bottle,Glass,Recyclable,Sorted
2024-06-06,18:08,vending machine,coffee cup,Paper,Recyclable,Unsorted
2024-05-30,12:39,par13,wrapper,Plastic,non-recyclable,Unsorted
2024-02-01,12:36,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-09,11:51,vending machine,drink can,Metal,Recyclable,Unsorted
2024-01-03,13:38,par13,food,Organic,bio-degradable,Sorted
2024-01-18,11:35,par13,paper,Paper,Recyclable,Unsorted
2024-04-30,11:25,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-14,11:34,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-29,15:21,par14,coffee cup,Paper,Recyclable,Unsorted
2024-01-17,12:22,lobby,paper cup,Paper,Recyclable,Sorted
2024-04-26,12:31,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-05-13,12:42,par14,food,Organic,bio-degradable,Unsorted
2024-01-05,11:55,par13,carton,Paper,Recyclable,Unsorted
2024-05-06,13:04,par14,paper cup,Paper,Recyclable,Sorted
2024-04-11,17:19,vending machine,coffee cup,Paper,Recyclable,Unsorted
2024-05-24,13:02,par6,glass bottle,Glass,Recyclable,Sorted
2024-06-14,12:53,vending machine,coffee cup,Paper,Recyclable,Sorted
2024-05-08,13:27,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-06-11,17:40,par14,clear water bottle,Plastic,Recyclable,Sorted
2024-03-12,12:50,par14,carton,Paper,Recyclable,Unsorted
2024-05-01,12:54,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-03-14,17:33,lobby,paper,Paper,Recyclable,Sorted
2024-03-20,18:18,par6,food,Organic,bio-degradable,Sorted
2024-04-30,12:21,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-18,18:01,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-04-09,13:58,par13,glass bottle,Glass,Recyclable,Unsorted
2024-04-09,12:36,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-05-10,12:19,lobby,drink can,Metal,Recyclable,Unsorted
2024-03-18,12:47,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-05-16,13:43,par13,carton,Paper,Recyclable,Unsorted
2024-06-05,15:13,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-06-06,12:38,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-02-07,12:21,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-01,15:15,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-10,18:13,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-03,11:52,lobby,food,Organic,bio-degradable,Sorted
2024-03-22,13:14,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-05-20,13:02,vending machine,food,Organic,bio-degradable,Unsorted
2024-06-14,11:56,lobby,carton,Paper,Recyclable,Sorted
2024-01-15,12:28,par13,coffee cup,Paper,Recyclable,Unsorted
2024-01-02,12:35,par6,glass bottle,Glass,Recyclable,Unsorted
2024-03-29,13:14,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-05-09,12:19,par6,food,Organic,bio-degradable,Unsorted
2024-02-05,11:45,par13,coffee cup,Paper,Recyclable,Unsorted
2024-02-06,12:47,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-13,17:52,par14,drink can,Metal,Recyclable,Sorted
2024-03-29,13:21,vending machine,paper cup,Paper,Recyclable,Unsorted
2024-03-20,18:46,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-04-02,12:30,par6,drink can,Metal,Recyclable,Sorted
2024-02-19,12:45,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-07,10:30,par6,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-30,13:22,vending machine,carton,Paper,Recyclable,Sorted
2024-02-08,17:45,par13,coffee cup,Paper,Recyclable,Unsorted
2024-06-07,12:30,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-26,12:51,par6,glass bottle,Glass,Recyclable,Unsorted
2024-05-24,10:11,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-06-11,11:28,par6,banana peel,Organic,bio-degradable,Sorted
2024-01-30,12:09,par6,food,Organic,bio-degradable,Unsorted
2024-01-24,12:31,lobby,coffee cup,Paper,Recyclable,Sorted
2024-05-27,12:20,par14,paper cup,Paper,Recyclable,Unsorted
2024-06-12,15:06,lobby,paper,Paper,Recyclable,Sorted
2024-02-19,13:07,vending machine,paper,Paper,Recyclable,Sorted
2024-06-05,13:27,lobby,clear water bottle,Plastic,Recyclable,Sorted
2024-04-10,13:15,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-03-21,12:56,lobby,glass bottle,Glass,Recyclable,Sorted
2024-04-01,11:45,vending machine,drink can,Metal,Recyclable,Sorted
2024-03-26,14:52,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-03,12:15,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-12,12:39,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-02-13,15:36,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-03,11:57,par14,food,Organic,bio-degradable,Sorted
2024-06-13,13:21,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-05-01,12:05,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-05,13:01,par13,drink can,Metal,Recyclable,Unsorted
2024-04-08,17:42,par13,paper cup,Paper,Recyclable,Unsorted
2024-01-03,12:56,par6,coffee cup,Paper,Recyclable,Sorted
2024-01-30,18:30,par14,coffee cup,Paper,Recyclable,Unsorted
2024-05-24,12:05,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-19,13:13,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-16,12:44,par14,drink can,Metal,Recyclable,Unsorted
2024-01-29,12:29,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-05,11:05,par13,cardboard,Paper,Recyclable,Unsorted
2024-04-23,12:03,par13,food,Organic,bio-degradable,Unsorted
2024-05-07,11:30,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-11,12:23,lobby,food,Organic,bio-degradable,Sorted
2024-03-27,15:58,par6,glass bottle,Glass,Recyclable,Unsorted
2024-06-03,14:34,par13,paper cup,Paper,Recyclable,Unsorted
2024-05-24,12:36,par14,drink can,Metal,Recyclable,Unsorted
2024-02-16,13:18,lobby,food,Organic,bio-degradable,Sorted
2024-01-11,13:02,par14,banana peel,Organic,bio-degradable,Unsorted
2024-02-20,18:24,par6,paper cup,Paper,Recyclable,Unsorted
2024-02-21,12:59,vending machine,carton,Paper,Recyclable,Sorted
2024-05-22,18:10,lobby,coffee cup,Paper,Recyclable,Sorted
2024-04-12,12:36,vending machine,wrapper,Plastic,non-recyclable,Sorted
2024-02-23,12:46,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-19,15:47,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-06-05,12:25,par14,paper,Paper,Recyclable,Unsorted
2024-01-31,13:17,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-27,11:10,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-01-02,13:25,lobby,cardboard,Paper,Recyclable,Sorted
2024-01-11,12:12,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-12,13:01,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-03-25,12:32,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-21,12:06,lobby,paper,Paper,Recyclable,Unsorted
2024-01-31,13:03,par6,paper,Paper,Recyclable,Unsorted
2024-04-19,12:21,vending machine,drink can,Metal,Recyclable,Unsorted
2024-02-26,12:24,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-20,15:10,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-01-04,12:19,par6,paper cup,Paper,Recyclable,Sorted
2024-02-15,16:35,lobby,banana peel,Organic,bio-degradable,Sorted
2024-03-08,18:54,par14,carton,Paper,Recyclable,Unsorted
2024-04-24,12:08,par13,drink can,Metal,Recyclable,Unsorted
2024-05-03,15:13,vending machine,glass bottle,Glass,Recyclable,Unsorted
2024-04-03,14:06,par13,paper,Paper,Recyclable,Unsorted
2024-01-18,17:36,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-25,13:10,lobby,coffee cup,Paper,Recyclable,Unsorted
2024-04-16,12:28,lobby,carton,Paper,Recyclable,Sorted
2024-03-12,12:25,par14,glass bottle,Glass,Recyclable,Unsorted
2024-04-24,13:47,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-06,13:21,lobby,coffee cup,Paper,Recyclable,Sorted
2024-05-06,13:57,par14,food,Organic,bio-degradable,Sorted
2024-04-22,13:17,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-01-01,12:44,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-09,17:22,par6,paper cup,Paper,Recyclable,Sorted
2024-03-26,15:27,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-01-10,13:09,par14,paper cup,Paper,Recyclable,Unsorted
2024-04-17,12:54,lobby,carton,Paper,Recyclable,Unsorted
2024-02-09,12:20,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-03-21,13:11,par14,banana peel,Organic,bio-degradable,Unsorted
2024-01-19,12:05,par6,drink can,Metal,Recyclable,Unsorted
2024-04-15,12:32,vending machine,drink can,Metal,Recyclable,Unsorted
2024-01-16,14:04,par6,paper cup,Paper,Recyclable,Sorted
2024-04-09,12:44,lobby,banana peel,Organic,bio-degradable,Unsorted
2024-04-04,12:13,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-04-12,13:14,par6,paper cup,Paper,Recyclable,Sorted
2024-05-06,12:44,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-03-01,13:33,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-21,12:22,vending machine,carton,Paper,Recyclable,Unsorted
2024-03-29,12:02,par14,drink can,Metal,Recyclable,Sorted
2024-06-05,11:34,par6,carton,Paper,Recyclable,Sorted
2024-01-17,13:05,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-01-30,12:52,par14,drink can,Metal,Recyclable,Sorted
2024-04-04,13:23,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-05,17:27,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-02,12:23,par6,drink can,Metal,Recyclable,Sorted
2024-01-10,11:46,vending machine,carton,Paper,Recyclable,Sorted
2024-04-23,11:58,par14,glass bottle,Glass,Recyclable,Sorted
2024-01-25,16:23,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-19,13:16,par6,glass bottle,Glass,Recyclable,Sorted
2024-05-16,13:05,par6,paper,Paper,Recyclable,Sorted
2024-01-24,13:31,par14,carton,Paper,Recyclable,Sorted
2024-02-02,11:07,par13,drink can,Metal,Recyclable,Unsorted
2024-05-07,14:53,par14,coffee cup,Paper,Recyclable,Unsorted
2024-05-02,13:03,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-02-28,13:14,par14,food,Organic,bio-degradable,Unsorted
2024-02-26,11:48,par14,cardboard,Paper,Recyclable,Sorted
2024-01-15,09:23,par14,cardboard,Paper,Recyclable,Sorted
2024-04-23,12:22,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-04-29,16:04,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-15,12:11,par6,drink can,Metal,Recyclable,Sorted
2024-05-06,12:44,par6,food,Organic,bio-degradable,Sorted
2024-01-12,12:33,lobby,drink can,Metal,Recyclable,Unsorted
2024-01-10,10:13,par13,glass bottle,Glass,Recyclable,Unsorted
2024-04-25,12:49,par6,carton,Paper,Recyclable,Sorted
2024-01-24,12:56,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-04-08,10:57,lobby,glass bottle,Glass,Recyclable,Unsorted
2024-04-03,11:10,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-02-09,14:08,par14,coffee cup,Paper,Recyclable,Sorted
2024-02-16,12:51,par14,banana peel,Organic,bio-degradable,Sorted
2024-02-20,12:30,vending machine,carton,Paper,Recyclable,Unsorted
2024-02-19,12:37,vending machine,carton,Paper,Recyclable,Sorted
2024-05-29,12:27,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-20,12:41,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-04-10,12:28,par13,glass bottle,Glass,Recyclable,Unsorted
2024-01-08,18:06,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-01-29,12:08,par14,glass bottle,Glass,Recyclable,Unsorted
2024-05-09,13:11,vending machine,cardboard,Paper,Recyclable,Sorted
2024-05-30,13:17,vending machine,cardboard,Paper,Recyclable,Unsorted
2024-05-13,13:18,vending machine,carton,Paper,Recyclable,Sorted
2024-03-15,17:58,par13,paper cup,Paper,Recyclable,Unsorted
2024-02-05,15:27,par6,paper,Paper,Recyclable,Sorted
2024-01-04,13:35,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-19,12:48,par14,paper cup,Paper,Recyclable,Sorted
2024-05-13,12:52,vending machine,food,Organic,bio-degradable,Unsorted
2024-05-21,12:07,par6,carton,Paper,Recyclable,Unsorted
2024-03-29,11:07,par14,food,Organic,bio-degradable,Unsorted
2024-01-25,11:57,par6,banana peel,Organic,bio-degradable,Sorted
2024-04-29,11:10,lobby,plastic film,Plastic,non-recyclable,Sorted
2024-05-06,12:37,par13,cardboard,Paper,Recyclable,Unsorted
2024-03-20,13:08,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-05,13:21,lobby,wrapper,Plastic,non-recyclable,Sorted
2024-02-15,12:15,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-04-29,11:43,lobby,banana peel,Organic,bio-degradable,Sorted
2024-05-21,12:13,par13,banana peel,Organic,bio-degradable,Unsorted
2024-02-16,13:22,par6,plastic film,Plastic,non-recyclable,Unsorted
2024-05-17,12:33,vending machine,wrapper,Plastic,non-recyclable,Unsorted
2024-04-30,12:07,lobby,cardboard,Paper,Recyclable,Unsorted
2024-02-29,12:43,par6,food,Organic,bio-degradable,Sorted
2024-02-26,12:07,par6,banana peel,Organic,bio-degradable,Sorted
2024-04-30,15:36,vending machine,drink can,Metal,Recyclable,Sorted
2024-03-04,13:06,lobby,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-15,13:14,vending machine,banana peel,Organic,bio-degradable,Unsorted
2024-03-07,12:31,lobby,paper,Paper,Recyclable,Sorted
2024-05-15,11:34,par14,food,Organic,bio-degradable,Sorted
2024-01-19,13:02,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-01-10,12:14,par13,coffee cup,Paper,Recyclable,Unsorted
2024-04-16,11:30,lobby,drink can,Metal,Recyclable,Sorted
2024-02-22,10:03,par6,clear water bottle,Plastic,Recyclable,Sorted
2024-03-29,11:57,vending machine,coffee cup,Paper,Recyclable,Sorted
2024-03-01,15:08,par14,cardboard,Paper,Recyclable,Unsorted
2024-06-13,13:06,par6,banana peel,Organic,bio-degradable,Unsorted
2024-03-11,12:22,vending machine,glass bottle,Glass,Recyclable,Sorted
2024-04-11,12:29,par14,carton,Paper,Recyclable,Unsorted
2024-03-21,12:37,par14,banana peel,Organic,bio-degradable,Unsorted
2024-04-10,12:15,lobby,food,Organic,bio-degradable,Unsorted
2024-04-09,14:20,vending machine,banana peel,Organic,bio-degradable,Sorted
2024-03-13,12:10,par14,clear water bottle,Plastic,Recyclable,Unsorted
2024-03-27,17:03,vending machine,clear water bottle,Plastic,Recyclable,Sorted
2024-01-29,14:49,lobby,drink can,Metal,Recyclable,Sorted
2024-01-04,12:52,lobby,paper cup,Paper,Recyclable,Sorted
2024-06-04,12:30,par13,paper cup,Paper,Recyclable,Unsorted
2024-06-12,11:45,par13,plastic film,Plastic,non-recyclable,Unsorted
2024-04-08,11:48,lobby,cardboard,Paper,Recyclable,Sorted
2024-06-07,11:24,vending machine,wrapper,Plastic,non-recyclable,Sorted
2024-05-21,17:40,par13,clear water bottle,Plastic,Recyclable,Unsorted
2024-05-06,11:20,par14,paper,Paper,Recyclable,Unsorted
2024-03-12,15:53,par14,wrapper,Plastic,non-recyclable,Unsorted
2024-04-10,12:57,par13,paper cup,Paper,Recyclable,Unsorted
2024-03-21,15:21,vending machine,wrapper,Plastic,non-recyclable,Sorted
2024-05-21,11:34,par6,cardboard,Paper,Recyclable,Unsorted
2024-02-14,11:58,par6,wrapper,Plastic,non-recyclable,Unsorted
2024-05-30,11:51,par13,paper cup,Paper,Recyclable,Unsorted
2024-04-12,13:27,par6,glass bottle,Glass,Recyclable,Sorted
2024-03-11,12:15,par14,cardboard,Paper,Recyclable,Sorted
2024-06-06,12:31,lobby,coffee cup,Paper,Recyclable,Sorted
2024-03-07,12:13,par14,carton,Paper,Recyclable,Sorted
2024-01-03,16:09,par14,carton,Paper,Recyclable,Sorted
2024-05-17,10:01,par6,drink can,Metal,Recyclable,Unsorted
2024-04-15,13:09,vending machine,clear water bottle,Plastic,Recyclable,Unsorted
2024-04-26,12:52,par6,glass bottle,Glass,Recyclable,Sorted
2024-01-30,12:04,lobby,paper,Paper,Recyclable,Unsorted
2024-01-15,12:29,par13,paper cup,Paper,Recyclable,Sorted
2024-02-19,17:45,par6,paper,Paper,Recyclable,Sorted
2024-02-09,18:18,par13,clear water bottle,Plastic,Recyclable,Sorted
